t [s],y [in]
0.58,0.291666667
0.61,0.479166667
0.65,0.677083333
0.68,0.895833333
0.71,1.145833333
0.75,1.395833333
0.78,1.645833333
0.81,1.895833333
0.85,2.145833333
0.88,2.395833333
0.91,2.635416667
0.95,2.822916667
0.98,3.020833333
1.01,3.229166667
1.05,3.447916667
1.08,3.645833333
1.11,3.854166667
1.15,4.0625
1.18,4.260416667
1.21,4.4375
1.25,4.614583333
1.28,4.78125
1.31,4.96875
1.35,5.135416667
1.38,5.302083333
1.41,5.46875
1.45,5.635416667
1.48,5.78125
1.51,5.9375
1.55,6.09375
1.58,6.239583333
1.61,6.375
1.65,6.510416667
1.68,6.635416667
1.71,6.760416667
1.75,6.885416667
1.78,7
1.81,7.114583333
1.85,7.208333333
1.88,7.3125
1.91,7.395833333
1.95,7.479166667
1.98,7.5625
2.01,7.635416667
2.05,7.697916667
2.08,7.760416667
2.11,7.822916667
2.15,7.885416667
2.18,7.9375
2.21,7.947916667
2.25,7.947916667
2.28,7.71875
2.31,7.770833333
2.35,7.822916667
2.38,7.864583333
2.41,7.90625
2.45,7.9375
2.48,7.947916667
2.51,7.947916667
2.55,7.947916667
2.58,7.947916667
2.61,7.947916667
2.65,7.947916667
2.68,7.947916667
2.71,7.947916667
2.75,7.947916667
2.78,7.9375
2.81,7.927083333
2.85,7.916666667
2.88,7.895833333
2.91,7.875
2.95,7.770833333
2.98,7.739583333
3.01,7.708333333
3.05,7.666666667
3.08,7.625
3.11,7.583333333
3.15,7.53125
3.18,7.479166667
3.21,7.427083333
3.25,7.364583333
3.28,7.302083333
3.31,7.239583333
3.35,7.1875
3.38,7.114583333
3.41,7.041666667
3.45,6.958333333
3.48,6.875
3.51,6.802083333
3.55,6.708333333
3.58,6.614583333
3.61,6.510416667
3.65,6.395833333
3.68,6.28125
3.71,6.166666667
3.75,6.041666667
3.78,5.916666667
3.81,5.791666667
3.85,5.65625
3.88,5.520833333
3.91,5.375
3.95,5.21875
3.98,5.072916667
4.01,4.916666667
4.05,4.760416667
4.08,4.614583333
4.11,4.447916667
4.15,4.28125
4.18,4.114583333
4.21,3.9375
4.25,3.760416667
4.28,3.572916667
4.31,3.395833333
4.35,3.208333333
4.38,3.010416667
4.41,2.802083333
4.45,2.583333333
4.48,2.375
4.51,2.15625
4.55,1.916666667
4.58,1.697916667
4.61,1.46875
4.65,1.239583333
4.68,1
4.71,0.760416667
4.75,0.510416667
4.78,0.239583333
4.81,-0.020833333
4.85,-0.291666667
4.88,-0.541666667
